"id","cosai_category","mitre_technique_id","attack_type","expected_verdict","source","obfuscation_level","review_status","created_by","parent_id","cve_reference","labeling_notes","attack_vector"
"CVEDERIVED-202568143-A","T3","T1083","path_traversal","block","cve-derived","none","approved","claude_code","","CVE-2025-68143","","{
  ""name"": ""git_init"",
  ""description"": ""Initialize a git repository at the given path"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""path"": {
        ""type"": ""string""
      }
    },
    ""required"": [
      ""path""
    ]
  },
  ""handler"": ""subprocess.run(['git', 'init', path], check=True)  # no base-dir check""
}"
"CVEDERIVED-202568144-A","T3","T1059","shell_injection","block","cve-derived","none","approved","claude_code","","CVE-2025-68144","ref_a='--output=/tmp/x' triggers arg injection","{
  ""name"": ""git_diff"",
  ""description"": ""Show diff between two refs"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""ref_a"": {
        ""type"": ""string""
      },
      ""ref_b"": {
        ""type"": ""string""
      }
    }
  },
  ""handler"": ""subprocess.run(['git', 'diff', ref_a, ref_b], capture_output=True)""
}"
"CVEDERIVED-202568144-B","T3","T1059","shell_injection","block","cve-derived","none","approved","claude_code","","CVE-2025-68144","","{
  ""name"": ""git_checkout"",
  ""description"": ""Check out a branch or ref"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""ref"": {
        ""type"": ""string""
      }
    },
    ""required"": [
      ""ref""
    ]
  },
  ""handler"": ""subprocess.run(['git', 'checkout', ref], capture_output=True)""
}"
"CVEDERIVED-202568145-A","T3","T1083","path_traversal","block","cve-derived","none","approved","claude_code","","CVE-2025-68145","","{
  ""name"": ""repo_log"",
  ""description"": ""Show git log for the configured repository"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""repo"": {
        ""type"": ""string""
      },
      ""n"": {
        ""type"": ""integer""
      }
    }
  },
  ""handler"": ""subprocess.run(['git', '-C', repo, 'log', f'-n{n}'])  # repo not confined""
}"
"CVEDERIVED-20260755-A","T3","T1059","shell_injection","block","cve-derived","none","approved","claude_code","","CVE-2026-0755","","{
  ""name"": ""ask_gemini"",
  ""description"": ""Ask Gemini a question via the local gemini CLI"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""prompt"": {
        ""type"": ""string""
      }
    },
    ""required"": [
      ""prompt""
    ]
  },
  ""handler"": ""await execAsync(`gemini \""${prompt}\""`)""
}"
"CVEDERIVED-20260755-B","T3","T1059","shell_injection","block","cve-derived","none","approved","claude_code","","CVE-2026-0755","","{
  ""name"": ""gemini_with_context"",
  ""description"": ""Ask Gemini with a file of extra context attached"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""prompt"": {
        ""type"": ""string""
      },
      ""context_file"": {
        ""type"": ""string""
      }
    }
  },
  ""handler"": ""await execAsync(`gemini --file ${context_file} \""${prompt}\""`)""
}"
"CVEDERIVED-20260756-A","T3","T1059","shell_injection","block","cve-derived","none","approved","claude_code","","CVE-2026-0756","","{
  ""name"": ""create_kanban_card"",
  ""description"": ""Create a kanban card and run its attached hook"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""title"": {
        ""type"": ""string""
      },
      ""hook_cmd"": {
        ""type"": ""string""
      }
    }
  },
  ""handler"": ""subprocess.run(hook_cmd, shell=True)  # 'hook' is attacker-controlled""
}"
"CVEDERIVED-202623744-A","T6","T1190","auth_bypass","block","cve-derived","none","approved","claude_code","","CVE-2026-23744","CoSAI T6 (insecure default) chosen over T3; the bug is missing authN, not input validation","{
  ""name"": ""install_mcp_server"",
  ""description"": ""Install and launch a new MCP server \u2014 no auth required"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""command"": {
        ""type"": ""string""
      },
      ""args"": {
        ""type"": ""array""
      }
    }
  },
  ""handler"": ""# HTTP endpoint bound to 0.0.0.0, no auth middleware\nsubprocess.Popen([command, *args])""
}"
"CVEDERIVED-202625536-A","T9","T1530","other","block","cve-derived","none","approved","claude_code","","CVE-2026-25536","CoSAI T9 (data exfil impact); root_cause=other (session-routing flaw, not injection)","{
  ""name"": ""streaming_query"",
  ""description"": ""Stream results of a long query over HTTP"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""query"": {
        ""type"": ""string""
      }
    },
    ""required"": [
      ""query""
    ]
  },
  ""handler"": ""# Single StreamableHTTPServerTransport shared across clients \u2014\n# server.write() routes based on most-recent response_id, leaking\n# one client's output to another.""
}"
"CVEDERIVED-202627825-A","T3","T1505.003","path_traversal","block","cve-derived","none","approved","claude_code","","CVE-2026-27825","","{
  ""name"": ""download_attachment"",
  ""description"": ""Download a Confluence attachment to a local path"",
  ""inputSchema"": {
    ""type"": ""object"",
    ""properties"": {
      ""attachment_id"": {
        ""type"": ""string""
      },
      ""dest_path"": {
        ""type"": ""string""
      }
    }
  },
  ""handler"": ""Path(dest_path).write_bytes(confluence.get_attachment(attachment_id))""
}"
